ProductCode, Description, ExFactoryPrice, PackagingType, DiscountGroup ,CustomerDiscount , VATClass, Brand, Weight
"J31090284","Sliced Pork Leg Bone-in Rindon","0","KG","31090284","No","NONVAT","JF-FRES PK","1.000"
"J31090285","Shoulder Pork Fillet Per Kg","443.5","KG","","No","NONVAT","JF-FRES PK","0.000"
"J31090286","Frozen Pork Fillet 500g","443.25","PC","31090121","No","NONVAT","JF-FRES PK","0.500"
"J31090287","Frozen Loin Chops 500g","458.75","PC","31090141","No","NONVAT","JF-FRES PK","0.500"
"J31090289","Frozen Shoulder Chops 500g","338","PC","31090149","No","NONVAT","JF-FRES PK","0.500"
"J31090290","Frozen Pork Loin Ribs 750g","392.65","PC","31090279","No","NONVAT","JF-FRES PK","0.750"
"J31090291","Frozen Belly Spare Ribs 750g","454.9","PC","31090279","No","NONVAT","JF-FRES PK","0.750"
"J31090292","Frozen Pork Cubes 500g","310.5","PC","31090119","No","NONVAT","JF-FRES PK","0.500"
"J31090293","Nas Loin Steaks Per kg","638.5","KG","","Yes","NONVAT","JF-FRES PK","1.000"
"J31090294","Sow leg Bone In Rind On","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090295","Pork Shoulder Slices(125-135g)","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090296","Pork Strips per kg","421","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090297","Pure Lard 5kg","0","PC","","No","NONVAT","JF-PRE LAR","5.000"
"J31090298","P-Loin Chops B'less R'on -XPT","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090299","Pork Head (Neckless)","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090300","Baby Loin Chops Per kg","538.5","KG","31090300","No","NONVAT","JF-FRES PK","1.000"
"J31090301","Pork Leg Steaks , 500 gms","348","PC","31090301","No","NONVAT","JF-FRES PK","0.500"
"J31090302","Pork Leg Steaks, 300 gms","211.05","PC","","No","NONVAT","JF-FRES PK","0.300"
"J31090303","P-Loin Chops B'less R'less","949","KG","31090303","No","NONVAT","JF-FRES PK","1.000"
"J31090304","P-Loin Chops B'ss R'ss, 500gm","0","PC","","No","NONVAT","JF-FRES PK","0.500"
"J31090305","Baby Spare Ribs, 750 gms","430.5","PC","31090305","No","NONVAT","JF-FRES PK","0.750"
"J31090306","Shoulder Spare Ribs, 750 gms","336","PC","","No","NONVAT","JF-FRES PK","0.750"
"J31090307","Pork Sweet Breads","520.5","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090308","Wiener Schnitzel, Per Kg","832","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090309","Frozen Green Leg Bone- in","376","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090310","Pork Neck Bones, Per kg","29.5","KG","","No","NONVAT","JF-MISCPRK","1.000"
"J31090311","Retail Rolled Shoulder Boneles","455.5","KG","31090311","No","NONVAT","JF-FRES PK","1.100"
"J31090312","Retail Pork Hock Bone- In","348.5","KG","31090312","No","NONVAT","JF-FRES PK","1.400"
"J31090313","Retail Pork Loin Bone in, R/on","542","KG","31090313","No","NONVAT","JF-FRES PK","1.000"
"J31090314","P-Loin Chops B'less R'less-SER","0","KG","31090303","No","NONVAT","JF-FRES PK","1.000"
"J31090315","Pork Gammon Strips, Kg","790","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090316","Pork Rashers Per Kg","0","KG","","No","NONVAT","JF-FRES PK","1.000"
"J31090317","Pork Middle Bone in R/On","570","KG","","No","NONVAT","JF-FRES PK","0.000"
"J31100101","Beef Bone-In","375","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100102","Beef Cubes, 500 gms","275.5","PC","31100102","Yes","NONVAT","JF-FRES BE","0.500"
"J31100103","Beef Fillet, Per Kg","853","KG","31100103","No","NONVAT","JF-FRES BE","1.000"
"J31100104","Beef Ribs Bones Per Kg","10","KG","31100104","No","NONVAT","JF-MISCBEF","1.000"
"J31100105","Beef Rump Steak 500gms","445.5","PC","","No","NONVAT","JF-FRES BE","0.500"
"J31100106","Beef Sirloin, Per Kg","703.5","KG","31100106","No","NONVAT","JF-FRES BE","1.000"
"J31100107","Beef Striploin, Per Kg","495","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100108","Cubed Beef on the Bone /kg","596.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100109","Boneless Beef","560","KG","31100109","No","NONVAT","JF-FRES BE","1.000"
"J31100110","Brisket (Rolled Beef) Per Kg","663.5","KG","31100110","No","NONVAT","JF-FRES BE","1.000"
"J31100111","Cubed Beef  Per Kg","510","KG","31100111","No","NONVAT","JF-FRES BE","1.000"
"J31100112","Forequarters, Per Kg","358","KG","31100112","No","NONVAT","JF-FRES BE","1.000"
"J31100113","Hindquarters, Per Kg","448","KG","31100113","No","NONVAT","JF-FRES BE","1.000"
"J31100114","Lean Beef","303.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100115","High Grade Pistola, Per Kg","487","KG","31100115","No","NONVAT","JF-FRES BE","1.000"
"J31100116","Minced Beef (High Grade), Kg","364.5","KG","31100116","No","NONVAT","JF-FRES BE","1.000"
"J31100117","Minced Beef 2 Kg","771","PC","31100117","No","NONVAT","JF-FRES BE","2.000"
"J31100118","Osubuko (Shin on Bone)","359.5","KG","31100118","No","NONVAT","JF-FRES BE","1.000"
"J31100119","Ox-Kidney","247","KG","31100119","No","NONVAT","JF-FRES BE","1.000"
"J31100120","Beef Liver","250","KG","","No","NONVAT","JF-MISCBEF","1.000"
"J31100121","Ox-Tail","363","KG","31100121","No","NONVAT","JF-FRES BE","1.000"
"J31100122","Prego Steak","759.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100123","Rib Eye Steak, Per Kg","857","KG","31100123","No","NONVAT","JF-FRES BE","1.000"
"J31100124","Rump Steak, Per Kg","638.5","KG","31100124","Yes","NONVAT","JF-FRES BE","1.000"
"J31100125","Silverside, Per Kg","625.5","KG","31100125","No","NONVAT","JF-FRES BE","1.000"
"J31100126","Soup Bones (Beef)","10","KG","","No","NONVAT","JF-MISCBEF","1.000"
"J31100127","Staff Meat, Per Kg","448","KG","31100127","No","NONVAT","JF-FRES BE","1.000"
"J31100128","Steak Strips (Beef)","472.5","KG","31100128","No","NONVAT","JF-FRES BE","1.000"
"J31100129","T-Bone Steak, Per Kg","839.5","KG","31100129","No","NONVAT","JF-FRES BE","1.000"
"J31100130","Topside, Per Kg","612.5","KG","31100130","No","NONVAT","JF-FRES BE","1.000"
"J31100131","Minced Beef 500g (High Grade)","317.5","PC","31100131","Yes","NONVAT","JF-FRES BE","0.500"
"J31100132","Beef Upper Loin per Kg","499.5","KG","31100132","No","NONVAT","JF-FRES BE","1.000"
"J31100133","B/Rolled T/side Joint B/less/k","746.5","KG","31100133","No","NONVAT","JF-FRES BE","1.000"
"J31100134","Export Beef Goulash","474.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100135","Rib Eye Steak, Per Kg - SER","857","KG","31100123","No","NONVAT","JF-FRES BE","1.000"
"J31100136","Beef Fillet, Per Kg - SER","852.5","KG","31100103","No","NONVAT","JF-FRES BE","1.000"
"J31100137","Beef Striploin, Per Kg - SER","766.5","KG","31100107","No","NONVAT","JF-FRES BE","1.000"
"J31100138","Rump Steak, Per Kg - SER","670.5","KG","31100124","No","NONVAT","JF-FRES BE","1.000"
"J31100139","Topside, Per Kg - SER","612","KG","31100130","No","NONVAT","JF-FRES BE","1.000"
"J31100140","Beef Sirloin w Fillet Attached","746.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100141","fr-Beef Burger(4x200gms)-Bonus","0","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100142","Beef Burgers 10 x 150 gms","537.75","PC","","No","NONVAT","JF-FRSH BG","1.500"
"J31100143","Fresh Beef Burgers 5x140gms","223.65","PC","31100143","No","NONVAT","JF-FRSH BG","0.700"
"J31100144","Fresh Beef Burgers, 200gms","106.5","PC","31100144","No","NONVAT","JF-FRSH BG","0.200"
"J31100145","Fresh Beef Burger (4x200gms)","306.4","PC","31100145","No","NONVAT","JF-FRSH BG","0.800"
"J31100146","Fresh Beef Burgers, 1kg","426","PC","31100146","No","NONVAT","JF-FRSH BG","1.000"
"J31100147","Fresh Beef Burger (10x80gms)","322","PC","31100147","No","NONVAT","JF-FRSH BG","0.800"
"J31100148","Gristles","16","KG","31100157","No","NONVAT","JF-MISCBEF","1.000"
"J31100149","Ox-Tail - SER","363","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100150","Commercial Staff Meat FQ, 2Kg","0","KG","31100127","No","NONVAT","JF-FRES BE","1.000"
"J31100151","Commercial Rump Steak, Per Kg","0","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100152","Fresh Patty Burger 1kg","366","KG","","No","NONVAT","JF-FRSH BG","1.000"
"J31100153","Commercial Topside, Per Kg","0","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100154","Beef T-Bone 500gm","486.25","PC","31100154","No","NONVAT","JF-FRES BE","0.500"
"J31100155","Commercial T-Bone, Per Kg","0","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100156","Short Cut  Striploin /kg","445","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100157","Frozen T-Bone Steak 300gm","275.7","PC","31100157","No","NONVAT","JF-FRES BE","0.300"
"J31100158","Frozen Striploin Steak 300gm","353.85","PC","31100158","No","NONVAT","JF-FRES BE","0.300"
"J31100159","Frozen Rump Steak 300gm","255.75","PC","31100159","No","NONVAT","JF-FRES BE","0.300"
"J31100160","Frozen Beef Fillet Steak 300gm","274.5","PC","31100160","No","NONVAT","JF-FRES BE","0.300"
"J31100161","Frozen Rib Eye Steak 300gm","285.6","PC","31100161","No","NONVAT","JF-FRES BE","0.300"
"J31100162","Frozen Stir-Fry B/f Strips300g","261.3","PC","31100162","No","NONVAT","JF-FRES BE","0.300"
"J31100163","Frozen Beef Rump Steak 250gms","236","PC","","No","NONVAT","JF-FRES BE","0.250"
"J31100164","Beef Fillet Portioned 60gm Stk","59.5","KG","","No","NONVAT","JF-FRES BE","0.070"
"J31100165","Beef Pie Meat Per kg","724.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100166","Eight Bone Rib Sirloin","516","KG","31100166","No","NONVAT","JF-FRES BE","1.000"
"J31100167","Meaty Beef Ribs /kg","444","KG","31100167","No","NONVAT","JF-FRES BE","1.000"
"J31100168","Portioned T-bone Steak","839.5","KG","31100168","No","NONVAT","JF-FRES BE","1.000"
"J31100169","Portioned Rump Steak /Kg","783","KG","31100169","No","NONVAT","JF-FRES BE","1.000"
"J31100170","Portioned Beef Fillet Per kg","880","KG","31100170","No","NONVAT","JF-FRES BE","1.000"
"J31100171","Portioned Sirloin Steak /Kg","857","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100172","Portioned Rib Eye Steak","857","KG","31100172","No","NONVAT","JF-FRES BE","1.000"
"J31100173","Com. Beef Pistola","317.5","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100174","Commercial Beef Fillet, Per Kg","0","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100175","Beef Fillet Medallions (100gm)","880","KG","","No","NONVAT","JF-FRES BE","1.000"
"J31100176","Rib of Beef (7-8 bone)","775","KG","31100176","No","NONVAT","JF-FRES BE","1.000"
"J31100177","Shin Meat (Off the Bone)","369.5","KG","31100177","No","NONVAT","JF-FRES BE","1.000"
